Symbol,Company Name,Series,Listing Date,Paid Up Value,Market Lot,ISIN,Face Value,Sector,Industry,Current Price,Daily Change %,Weekly Change %,Monthly Change %,Volume,Market Cap (Cr),P/E Ratio,52W High,52W Low
SHILPAMED,Shilpa Medicare Limited,EQ,03-DEC-2009,1,1,INE790G01031,1,Healthcare,Drug Manufacturers - Specialty & Generic,912.7999877929688,-2.478633782802484,10.662546500599142,14.846502492742475,944628.0,8886.2588928,136.44145,959.5,313.15
SHIVALIK,Shivalik Rasayan Limited,EQ,09-DEC-2021,5,1,INE788J01021,5,Basic Materials,Agricultural Inputs,545.8499755859375,3.8033661554732703,8.239141145890002,1.9994301941012544,48419.0,837.8978304,58.914474,777.8,492.9
SHIVAMAUTO,Shivam Autotech Limited,BE,21-NOV-2006,2,1,INE637H01024,2,Consumer Cyclical,Auto Parts,37.56999969482422,-3.045162077872984,4.274218616993794,-8.298758663841104,52721.0,458.3325184,N/A,64.77,27.5
SHIVAMILLS,Shiva Mills Limited,EQ,26-FEB-2018,10,1,INE644Y01017,10,Consumer Cyclical,Textile Manufacturing,85.54000091552734,1.1709022212139932,-2.1393463771156926,-5.668283383712185,12375.0,74.3720384,N/A,119.35,73.85
SHIVATEX,Shiva Texyarn Limited,EQ,26-DEC-2017,10,1,INE705C01020,10,Consumer Cyclical,Textile Manufacturing,227.61000061035156,-0.6677135303187026,2.273645243409393,-2.8470198923079106,7253.0,295.2747776,34.60366,299.0,135.0
SHK,S H Kelkar and Company Limited,EQ,16-NOV-2015,10,1,INE500L01026,10,Basic Materials,Specialty Chemicals,266.8500061035156,0.8694078309112684,-4.4404633469953,-8.109500099150605,258498.0,3668.156416,165.625,336.25,136.1
SHOPERSTOP,Shoppers Stop Limited,EQ,23-MAY-2005,5,1,INE498B01024,5,Consumer Cyclical,Department Stores,603.7000122070312,0.34072761734950496,-3.516061941951929,-15.76670825664197,29783.0,6731.5740672,405.16556,943.4,599.0
SHRADHA,Shradha Infraprojects Limited,BE,22-OCT-2020,5,1,INE715Y01023,5,Real Estate,Real Estate - Development,186.1999969482422,-1.04167021456212,-7.588469962814417,13.737700392183767,9310.0,377.0438144,17.818182,205.74,52.5
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020,10,1,INE232A01011,10,Basic Materials,Building Materials,85.16999816894531,2.924469086338746,-0.46745533166468006,-7.070379977139288,272805.0,1271.9394816,16.87255,123.9,81.19
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10,Basic Materials,Building Materials,24794.75,3.0844594410794133,3.1001064711906503,1.4747634630447453,13881.0,89541.8171392,51.586212,30737.75,23500.0
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,BE,10-SEP-2015,10,1,INE712K01011,10,Basic Materials,Specialty Chemicals,265.6000061035156,-1.5019424752976243,-0.28158437500035804,3.330219916755781,14383.0,888.7318528,18.362833,295.2,155.15
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,13-MAR-2000,5,1,INE879A01019,5,Consumer Cyclical,Packaging & Containers,39.75,9.98893378892965,17.01500904207868,45.44456681655836,320671.0,533.3376512,35.81081,44.9,21.5
SHRENIK,Shrenik Limited,BE,02-AUG-2019,1,1,INE632X01030,1,Basic Materials,Paper & Paper Products,0.6899999976158142,0.0,-6.7567582806154425,-8.000000317891438,1548906.0,42.228,N/A,1.7,0.66
SHREYANIND,Shreyans Industries Limited,EQ,06-NOV-1996,10,1,INE231C01019,10,Basic Materials,Paper & Paper Products,222.69000244140625,-0.35349619708063335,-3.1319313442768193,-7.674127172898721,5978.0,308.9798144,5.255114,347.0,194.9
SHRIPISTON,Shriram Pistons & Rings Limited,EQ,02-JUN-2016,10,1,INE526E01018,10,Consumer Cyclical,Auto Parts,1989.949951171875,-1.007362475966382,1.4090557843211782,-0.7778463402279782,30994.0,8778.6848256,18.790308,2399.0,993.0
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10,Financial Services,Credit Services,2850.050048828125,1.7075904107499245,-0.1331551657617134,-11.818630993481616,1638998.0,106868.5787136,13.384826,3652.25,1934.55
SHRIRAMPPS,Shriram Properties Limited,EQ,20-DEC-2021,10,1,INE217L01019,10,Real Estate,Real Estate - Development,98.97000122070312,2.3580501827772165,-4.154562102243195,-6.499761315631984,613708.0,1680.1932288,30.33846,147.6,91.05
SHYAMCENT,Shyam Century Ferrous Limited,EQ,28-JUL-2015,1,1,INE979R01011,1,Basic Materials,Steel,14.029999732971191,-0.7779392339513443,-3.308066770083257,-17.567571353551827,200764.0,295.981312,N/A,32.4,13.92
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10,1,INE810G01011,10,Basic Materials,Steel,813.0499877929688,1.384123127000082,2.109888576824961,-0.9683327901377893,172116.0,22604.570624,26.876034,956.9,442.3
SHYAMTEL,Shyam Telecom Limited,BE,06-NOV-2006,10,1,INE635A01023,10,Technology,Communication Equipment,31.010000228881836,-2.022114999564594,-9.670845980467151,96.3901222533168,375.0,35.6807264,N/A,35.0,7.7
SICALLOG,Sical Logistics Limited,BE,12-OCT-2023,10,1,INE075B01020,10,Industrials,Integrated Freight & Logistics,132.38999938964844,-2.489507826802129,-7.09473727042215,-21.4768715320421,8060.0,870.7984384,N/A,298.25,118.83
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2,Industrials,Specialty Industrial Machinery,6849.39990234375,3.1279878201151163,2.160474631047975,-5.378041395067663,349289.0,244111.4025984,99.01706,8129.9,3575.55
SIGACHI,Sigachi Industries Limited,EQ,15-NOV-2021,1,1,INE0D0K01022,1,Healthcare,Drug Manufacturers - Specialty & Generic,48.029998779296875,0.691819729725904,-5.54572228012827,3.803756870803946,519787.0,1607.214592,29.753086,95.9,43.35
SIGIND,Signet Industries Limited,EQ,29-AUG-2018,10,1,INE529F01035,10,Industrials,Conglomerates,66.91000366210938,0.874418536173083,-3.30923899873233,-1.559507929317034,20033.0,197.3339008,16.050724,97.35,58.0
SIGMA,Sigma Solve Limited,EQ,09-JUN-2023,10,1,INE0A0S01010,10,Technology,Information Technology Services,315.5,0.15873015873015872,-6.017280748436076,-12.055749128919862,4773.0,328.674432,18.326647,515.0,302.1
SIGNATURE,Signatureglobal (India) Limited,EQ,27-SEP-2023,1,1,INE903U01023,1,Real Estate,Real Estate - Development,1298.0999755859375,2.701849419148298,3.24915295970869,-9.309393388954563,341484.0,18294.5333248,313.73492,1647.0,743.65
SIGNPOST,Signpost India Limited,EQ,14-FEB-2024,2,1,INE0KGZ01021,2,Communication Services,Advertising Agencies,246.08999633789062,0.600932568900963,9.729340370868783,9.73912880173495,43273.0,1317.5425024,24.190384,466.0,211.99
SIKKO,Sikko Industries Limited,EQ,22-OCT-2021,10,1,INE112X01017,10,Basic Materials,Agricultural Inputs,92.66000366210938,-4.9446035379946265,1.0358789522630834,-2.5144653476202468,170297.0,155.4672,38.23967,124.9,63.1
SIL,Standard Industries Limited,EQ,27-JAN-2004,5,1,INE173A01025,5,Consumer Cyclical,Textile Manufacturing,26.450000762939453,-1.9280628982350625,-0.07555176023351655,1.0699300184532519,49976.0,170.8575488,43.54098,38.9,20.2
SILGO,Silgo Retail Limited,EQ,03-MAR-2021,10,1,INE01II01013,10,Consumer Cyclical,Luxury Goods,37.81999969482422,-0.2637090689603139,-1.2016695379871312,-15.974225493959244,28453.0,69.2705152,30.696722,53.45,19.885714
SILINV,SIL Investments Limited,BE,22-MAY-1996,10,1,INE923A01015,10,Financial Services,Asset Management,701.7000122070312,-0.42571306201689707,1.000361598709068,-11.126588176070369,8606.0,750.4590848,21.552984,910.0,387.0
SILLYMONKS,Silly Monks Entertainment Limited,EQ,08-JUL-2020,10,1,INE203Y01012,10,Communication Services,Entertainment,21.670000076293945,4.333170913310502,-0.3219857201526476,-1.275629507577344,7077.0,21.4437296,116.666664,26.9,13.25
SILVERTUC,Silver Touch Technologies Limited,EQ,12-MAY-2022,10,1,INE625X01018,10,Technology,Information Technology Services,703.7999877929688,-0.41740533527148926,-0.5510844067813274,-0.7334290842075106,10768.0,897.8148352,47.902573,826.95,604.7
SIMBHALS,Simbhaoli Sugars Limited,BE,14-MAR-2016,10,1,INE748T01016,10,Consumer Defensive,Confectioners,21.6299991607666,1.0275540164521961,-2.65526629532024,-1.0521566475896909,27211.0,89.3690304,6.2034383,38.5,20.9
SIMPLEXINF,Simplex Infrastructures Limited,BE,09-MAR-2004,2,1,INE059B01024,2,Industrials,Engineering & Construction,229.39999389648438,-0.9926642563882269,-8.092953410687729,1.51789735684039,125911.0,1304.8439808,20.159151,307.85,70.35
SINCLAIR,Sinclairs Hotels Limited,EQ,10-APR-2024,2,1,INE985A01022,2,Consumer Cyclical,Lodging,88.11000061035156,0.8585164775183509,-2.887691667192924,-2.9839232477195194,28295.0,455.598848,23.145834,137.95,86.31
SINDHUTRAD,Sindhu Trade Links Limited,EQ,20-JUN-2023,1,1,INE325D01025,1,Industrials,Conglomerates,22.959999084472656,4.458596736333777,3.938428817904935,6.001843242006615,455496.0,3543.3549824,39.62069,45.15,16.7
SINTERCOM,Sintercom India Limited,EQ,07-OCT-2020,10,1,INE129Z01016,10,Consumer Cyclical,Auto Parts,140.5,-0.5028019829401106,-1.3550465316491063,-8.492896871391578,2632.0,388.9678336,321.13638,170.05,120.6
SIRCA,Sirca Paints India Limited,EQ,22-JUL-2019,10,1,INE792Z01011,10,Basic Materials,Specialty Chemicals,315.3500061035156,-1.9129063441631025,-7.372596623157718,2.4695389450903735,181753.0,1737.4390272,37.382076,444.0,282.05
SIS,SIS LIMITED,EQ,10-AUG-2017,5,1,INE285J01028,5,Industrials,Security & Protection Services,379.8999938964844,-0.22324520118598162,3.5008872172374397,-3.2348476845623577,17089.0,5478.7268608,34.811928,541.75,364.0
SITINET,Siti Networks Limited,BE,10-JAN-2007,1,1,INE965H01011,1,Communication Services,Entertainment,0.8799999952316284,0.0,-2.222220161814694,-3.29670660767248,895639.0,76.7407552,N/A,1.15,0.5
SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2,1,INE076B01028,2,Consumer Cyclical,Textile Manufacturing,683.8499755859375,2.3114827360185757,4.468377801850374,35.504896787584464,149407.0,3112.3888128,16.206,743.0,409.6
SJS,S.J.S. Enterprises Limited,EQ,15-NOV-2021,10,1,INE284S01014,10,Consumer Cyclical,Auto Parts,1122.449951171875,0.1204152720841816,-1.5222053792758075,9.721402851600685,55139.0,3505.9212288,34.18243,1275.95,552.05
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10,Utilities,Utilities - Renewable,107.56999969482422,3.9926499960761426,3.2440706154304886,-3.0376804330448093,27960948.0,42245.3477376,41.992188,170.5,81.05
SKFINDIA,SKF India Limited,EQ,27-JAN-1999,10,1,INE640A01023,10,Industrials,Tools & Accessories,4675.25,0.06099858136758256,-4.201582134166242,-10.010005663547675,20162.0,23136.9834496,41.193558,7350.0,4024.5
SKIPPER,Skipper Limited,EQ,27-MAY-2015,1,1,INE439E01022,1,Industrials,Engineering & Construction,531.7000122070312,0.06587684900291053,2.555694799503431,5.663751849885541,246097.0,5860.4417024,55.69488,618.9,207.116
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997,10,1,INE411D01015,10,Consumer Defensive,Packaged Foods,214.41000366210938,0.4215302226728416,-4.285518985820789,-11.180609327582948,28990.0,572.278784,13.43052,424.9,212.71
SKYGOLD,Sky Gold Limited,BE,06-JAN-2023,10,1,INE01IU01018,10,Consumer Cyclical,Luxury Goods,3958.60009765625,4.9915181462717335,27.614445443463893,16.595738377369948,80317.0,5804.0242176,53.476967,3958.9,892.95
SMARTLINK,Smartlink Holdings Limited,BE,11-APR-2001,2,1,INE178C01020,2,Technology,Communication Equipment,189.35000610351562,0.9651343085105301,-4.30101813432963,-16.915308830801784,25127.0,190.120768,24.450193,355.75,158.0
SMCGLOBAL,SMC Global Securities Limited,EQ,24-FEB-2021,2,1,INE103C01036,2,Financial Services,Capital Markets,145.3800048828125,2.0496967789775327,7.228206903234541,-9.160203085681193,113706.0,1522.3378944,7.0479884,183.0,96.5
SMLISUZU,SML Isuzu Limited,EQ,29-AUG-2003,10,1,INE294B01019,10,Consumer Cyclical,Auto Manufacturers,1603.0,0.1530693259900733,-2.1725848966406525,-8.255830590928602,9641.0,2315.4561024,18.796991,2480.0,1233.85
SMLT,Sarthak Metals Limited,EQ,25-NOV-2021,10,1,INE017W01010,10,Industrials,Metal Fabrication,152.0800018310547,-2.224502767409211,-2.6501084094856493,-16.0752738830859,18075.0,208.808576,40.05541,448.0,145.0
SMSLIFE,SMS Lifesciences India Limited,BE,17-AUG-2017,10,1,INE320X01016,10,Healthcare,Biotechnology,1007.5999755859375,-3.518935305129034,-13.070485996983574,-26.085679894592566,2326.0,308.6779136,14.111956,1749.65,487.05
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-FEB-2007,1,1,INE812G01025,1,Healthcare,Drug Manufacturers - General,241.14999389648438,0.7730843381253242,-7.940453270186396,-16.945070147334683,109241.0,2046.8873216,34.4302,398.0,113.3
SNOWMAN,Snowman Logistics Limited,EQ,12-SEP-2014,10,1,INE734N01019,10,Industrials,Integrated Freight & Logistics,72.94000244140625,7.486003220400457,15.156302913943284,4.949643800584532,1121139.0,1219.7424128,140.38461,91.65,54.55
SOBHA,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10,Real Estate,Real Estate - Development,1629.300048828125,7.4063153876274725,5.333591763363534,-2.358192251832737,1023102.0,16114.0998144,291.5072,2160.8035,875.1
SOFTTECH,Softtech Engineers Limited,EQ,25-FEB-2022,10,1,INE728Z01015,10,Technology,Software - Application,391.29998779296875,-3.059582878795428,0.5654026355547898,14.482153823241967,5322.0,493.5353344,151.5748,435.0,213.6
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018,10,1,INE624Z01016,10,Healthcare,Drug Manufacturers - Specialty & Generic,799.3499755859375,4.977340964123801,7.7944830078138665,2.316796875,137257.0,3450.0583424,N/A,850.65,317.55
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2,Basic Materials,Specialty Chemicals,10036.9501953125,0.6361878509299643,3.5981420984248356,-7.097962043338521,38815.0,90490.0968448,89.758545,13298.0,5909.35
SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995,2,1,INE355A01028,2,Industrials,Building Products & Equipment,641.25,2.772656054893783,-2.024446142093201,-5.926798645505784,24996.0,2623.8681088,32.256435,872.6,561.2
